Month,Year,ID,Offence,Area,CourtType,Outcome,Gender,Age,Ethnicity,Casetype,ChargeType
February 2024,2023,9204,Assault,South Jacob,Crown Court,Sentenced,Female,48,Other,Criminal,postcharge
July 2025,2023,7534,Drug Offense,Port Rosemary,Crown Court,Community Service,Female,38,White,Criminal,postcharge
April 2024,2024,2440,Theft,Port Lucy,Magistrates' Court,Guilty,Male,24,White,Criminal,postcharge
August 2023,2023,9306,Assault,Lake Garry,Crown Court,Community Service,Female,70,Black,Civil,postcharge
February 2025,2023,1536,Assault,South Stephen,Magistrates' Court,Community Service,Female,26,Mixed,Civil,postcharge
March 2023,2023,3207,Burglary,Coleshire,Magistrates' Court,Guilty,Male,56,Black,Criminal,postcharge
April 2025,2023,3325,Assault,Bakerton,Crown Court,Community Service,Male,49,Black,Civil,postcharge
August 2025,2024,5219,Burglary,Allentown,Crown Court,Community Service,Male,45,Black,Civil,postcharge
February 2023,2024,1454,Fraud,Beverleyborough,Magistrates' Court,Not Guilty,Male,34,Mixed,Civil,postcharge
July 2024,2023,5912,Fraud,Griffinmouth,Magistrates' Court,Sentenced,Female,35,Other,Civil,postcharge
September 2023,2023,2373,Fraud,West Brucestad,Magistrates' Court,Not Guilty,Female,19,White,Civil,postcharge
January 2024,2024,6262,Drug Offense,New Kevinborough,Magistrates' Court,Fine,Male,67,Mixed,Criminal,postcharge
May 2025,2025,4013,Theft,Lake Jordanland,Magistrates' Court,Fine,Female,74,Other,Civil,postcharge
April 2025,2025,1709,Theft,Sharpberg,Crown Court,Not Guilty,Female,40,Black,Criminal,postcharge
October 2025,2025,7781,Fraud,Bullburgh,Magistrates' Court,Sentenced,Male,68,Mixed,Criminal,postcharge
July 2023,2023,6373,Theft,South Robertville,Magistrates' Court,Dismissed,Female,29,Other,Criminal,postcharge
June 2024,2023,7182,Drug Offense,Whitestad,Crown Court,Sentenced,Male,24,Mixed,Civil,postcharge
September 2024,2025,9446,Assault,Justinview,Crown Court,Sentenced,Male,45,White,Criminal,postcharge
January 2024,2025,7969,Burglary,Port Michael,Magistrates' Court,Fine,Female,38,Asian,Criminal,postcharge
