Month,Year,ID,Offence,Area,CourtType,Outcome,Gender,Age,Ethnicity,Casetype,ChargeType
February 2024,2023,8109,Theft,Doddberg,Crown Court,Dismissed,Female,65,Other,Environmental,pre_charge
February 2025,2025,1605,Theft,Mauriceshire,Crown Court,Not Guilty,Female,36,Other,Environmental,pre_charge
December 2024,2024,6100,Fraud,West Dylan,Crown Court,Community Service,Female,52,Black,Traffic,pre_charge
April 2024,2024,4055,Theft,New Frederickbury,Crown Court,Community Service,Male,72,Black,Health and Safety,pre_charge
July 2024,2024,7428,Fraud,Barnesshire,Magistrates' Court,Fine,Male,58,White,Traffic,pre_charge
June 2024,2023,8100,Assault,Lake Rosie,Crown Court,Dismissed,Male,63,White,Health and Safety,pre_charge
April 2024,2024,1823,Assault,Dianaland,Crown Court,Guilty,Female,68,Black,Environmental,pre_charge
March 2025,2025,1556,Burglary,Leonhaven,Crown Court,Community Service,Male,40,Other,Environmental,pre_charge
April 2024,2025,4889,Assault,Graceville,Magistrates' Court,Fine,Male,64,Other,Environmental,pre_charge
May 2023,2024,1550,Fraud,Sullivanfurt,Crown Court,Guilty,Female,34,White,Traffic,pre_charge
June 2024,2023,9172,Fraud,South Justin,Magistrates' Court,Guilty,Male,56,Mixed,Traffic,pre_charge
January 2023,2024,8237,Drug Offense,Bradleyton,Magistrates' Court,Sentenced,Male,73,Mixed,Traffic,pre_charge
December 2023,2024,9289,Theft,Graemechester,Crown Court,Not Guilty,Male,24,White,Public Order,pre_charge
October 2023,2024,3466,Theft,Port Eric,Magistrates' Court,Not Guilty,Female,18,Other,Public Order,pre_charge
January 2025,2025,5410,Assault,Harrietside,Magistrates' Court,Fine,Female,77,Asian,Environmental,pre_charge
September 2023,2024,6497,Fraud,East Joanna,Crown Court,Community Service,Male,59,White,Environmental,pre_charge
May 2024,2025,3614,Fraud,Pageshire,Crown Court,Fine,Male,45,Mixed,Public Order,pre_charge
February 2024,2025,6318,Assault,Taylorside,Magistrates' Court,Not Guilty,Female,27,Mixed,Public Order,pre_charge
June 2023,2023,4156,Theft,West Elainemouth,Magistrates' Court,Sentenced,Male,70,Other,Traffic,pre_charge
July 2023,2024,9288,Theft,Kimhaven,Magistrates' Court,Community Service,Female,40,Black,Health and Safety,pre_charge
July 2023,2025,7905,Fraud,Sophieton,Crown Court,Fine,Female,66,Black,Traffic,pre_charge
February 2025,2025,1111,Fraud,North Stanleytown,Magistrates' Court,Community Service,Female,69,Other,Public Order,pre_charge
September 2025,2024,4135,Fraud,Brettville,Magistrates' Court,Guilty,Male,54,Asian,Health and Safety,pre_charge
September 2024,2024,5768,Theft,Edwardsmouth,Crown Court,Fine,Male,48,Asian,Health and Safety,pre_charge
May 2023,2025,4606,Drug Offense,Melissastad,Crown Court,Not Guilty,Male,70,Black,Health and Safety,pre_charge
March 2023,2023,2971,Burglary,West Beth,Magistrates' Court,Fine,Female,40,Mixed,Public Order,pre_charge
October 2025,2024,1352,Assault,West Joshton,Crown Court,Community Service,Female,56,Asian,Health and Safety,pre_charge
March 2024,2025,7959,Assault,West Melanie,Magistrates' Court,Sentenced,Male,18,Asian,Environmental,pre_charge
May 2023,2024,6395,Drug Offense,Cameronside,Crown Court,Fine,Male,38,Asian,Health and Safety,pre_charge
January 2024,2025,3413,Drug Offense,Hiltonstad,Crown Court,Not Guilty,Female,24,White,Traffic,pre_charge
December 2025,2023,1132,Theft,Lake Carolbury,Crown Court,Not Guilty,Female,31,Asian,Health and Safety,pre_charge
October 2023,2024,3189,Burglary,New Elaineport,Crown Court,Sentenced,Female,22,Other,Public Order,pre_charge
January 2025,2025,7290,Assault,Port Rachel,Crown Court,Community Service,Male,61,Mixed,Environmental,pre_charge
June 2025,2024,6658,Assault,Dorothyland,Crown Court,Fine,Male,79,Other,Health and Safety,pre_charge
June 2024,2023,1259,Fraud,Lake Sylvia,Magistrates' Court,Sentenced,Male,76,Other,Public Order,pre_charge
July 2025,2024,7115,Theft,West Julie,Magistrates' Court,Guilty,Male,73,Asian,Public Order,pre_charge
March 2023,2024,7943,Burglary,Natashaville,Crown Court,Guilty,Female,73,Other,Health and Safety,pre_charge
January 2023,2023,8595,Burglary,East Claireport,Crown Court,Community Service,Male,72,Other,Health and Safety,pre_charge
